[30.0001, 33.700099)	62046.0
[33.700099, 37.400098)	59545.0
[37.400098, 41.100097)	61580.0
[41.100097, 44.800095999999996)	70963.0
[44.800095999999996, 48.500095)	79020.0
[48.500095, 52.200094)	91975.0
[52.200094, 55.900093)	105079.0
[55.900093, 59.600092000000004)	107454.0
[59.600092000000004, 63.300090999999995)	62686.0
[63.300090999999995, 67.00009)	41499.0
[67.00009, 70.700089)	35174.0
[70.700089, 74.400088)	38314.0
[74.400088, 78.100087)	45001.0
[78.100087, 81.80008600000001)	51179.0
[81.80008600000001, 85.500085)	54293.0
[85.500085, 89.200084)	48767.0
[89.200084, 92.900083)	38441.0
[92.900083, 96.600082)	29418.0
[96.600082, 100.300081)	24177.0
[100.300081, 104.00008)	25856.0
[104.00008, 107.700079)	28652.0
[107.700079, 111.40007800000001)	30542.0
[111.40007800000001, 115.100077)	31787.0
[115.100077, 118.800076)	30404.0
[118.800076, 122.50007500000001)	26397.0
[122.50007500000001, 126.200074)	21913.0
[126.200074, 129.900073)	18288.0
[129.900073, 133.600072)	17767.0
[133.600072, 137.300071)	18785.0
[137.300071, 141.00007)	20745.0
[141.00007, 144.70006899999998)	20744.0
[144.70006899999998, 148.400068)	20551.0
[148.400068, 152.100067)	18655.0
[152.100067, 155.800066)	16069.0
[155.800066, 159.500065)	14081.0
[159.500065, 163.200064)	13251.0
[163.200064, 166.90006300000002)	13052.0
[166.90006300000002, 170.600062)	13541.0
[170.600062, 174.300061)	14053.0
[174.300061, 178.00006)	14078.0
[178.00006, 181.700059)	13207.0
[181.700059, 185.400058)	12023.0
[185.400058, 189.100057)	10877.0
[189.100057, 192.800056)	9534.0
[192.800056, 196.500055)	9394.0
[196.500055, 200.200054)	9401.0
[200.200054, 203.900053)	9516.0
[203.900053, 207.600052)	9429.0
[207.600052, 211.300051)	9083.0
[211.300051, 215.00005000000002)	8343.0
[215.00005000000002, 218.700049)	7715.0
[218.700049, 222.400048)	7107.0
[222.400048, 226.10004700000002)	6555.0
[226.10004700000002, 229.800046)	6316.0
[229.800046, 233.500045)	6418.0
[233.500045, 237.20004400000002)	6385.0
[237.20004400000002, 240.900043)	6080.0
[240.900043, 244.600042)	5790.0
[244.600042, 248.300041)	5274.0
[248.300041, 252.00004)	4849.0
[252.00004, 255.700039)	4574.0
[255.700039, 259.400038)	4318.0
[259.400038, 263.100037)	4193.0
[263.100037, 266.800036)	4123.0
[266.800036, 270.50003499999997)	4189.0
[270.50003499999997, 274.200034)	4034.0
[274.200034, 277.900033)	3575.0
[277.900033, 281.600032)	3352.0
[281.600032, 285.300031)	3058.0
[285.300031, 289.00003)	2815.0
[289.00003, 292.700029)	2838.0
[292.700029, 296.40002799999996)	2539.0
[296.40002799999996, 300.10002699999995)	2624.0
[300.10002699999995, 303.800026)	2579.0
[303.800026, 307.500025)	2419.0
[307.500025, 311.200024)	2247.0
[311.200024, 314.900023)	2067.0
[314.900023, 318.60002199999997)	1952.0
[318.60002199999997, 322.30002099999996)	1878.0
[322.30002099999996, 326.00001999999995)	1749.0
[326.00001999999995, 329.700019)	1745.0
[329.700019, 333.400018)	1638.0
[333.400018, 337.100017)	1600.0
[337.100017, 340.80001599999997)	1475.0
[340.80001599999997, 344.50001499999996)	1449.0
[344.50001499999996, 348.20001399999995)	1340.0
[348.20001399999995, 351.900013)	1176.0
[351.900013, 355.600012)	1169.0
[355.600012, 359.300011)	1074.0
[359.300011, 363.00001)	1011.0
[363.00001, 366.70000899999997)	1009.0
[366.70000899999997, 370.40000799999996)	889.0
[370.40000799999996, 374.100007)	909.0
[374.100007, 377.800006)	829.0
[377.800006, 381.500005)	828.0
[381.500005, 385.200004)	705.0
[385.200004, 388.90000299999997)	672.0
[388.90000299999997, 392.60000199999996)	654.0
[392.60000199999996, 396.30000099999995)	680.0
[396.30000099999995, 400.0)	12347.0
