stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
CPIJ000291-PA	CPIJ000289-PA	6031012	6031010	7176	0.928	0	0.658	0	0	0	0.8	0
CPIJ000722-PA	CPIJ000721-PA	6031493	6031492	7176	0.634	0	0.634	0	0	0	0	0
CPIJ002240-PA	CPIJ002239-PA	6033463	6033462	7176	0.532	0	0.532	0	0	0	0	0
CPIJ005228-PA	CPIJ000325-PA	6037660	6031049	7176	0.407	0	0	0	0.068	0	0	0.39
CPIJ005796-PA	CPIJ005794-PA	6037358	6037355	7176	0.604	0	0.604	0	0	0	0	0
CPIJ005799-PA	CPIJ005794-PA	6037361	6037355	7176	0.798	0	0.526	0	0	0	0	0.593
CPIJ005800-PA	CPIJ005794-PA	6037362	6037355	7176	0.559	0	0.559	0	0	0	0	0
CPIJ005800-PA	CPIJ005799-PA	6037362	6037361	7176	0.449	0	0.449	0	0	0	0	0
