GO:0004474
GO:0006097
GO:0016021
GO:0016627
GO:0006629
GO:0005737
GO:0009267
GO:0009289
GO:0007155
GO:0004477
GO:0004488
GO:0000105
GO:0009086
GO:0006164
GO:0035999
GO:0005856
GO:0003779
GO:0030036
GO:0003677
GO:0003700
GO:0030014
GO:0046872
GO:0003723
GO:0004842
GO:0042800
GO:0030246
GO:0008233
GO:0008233
GO:0030246
GO:0008233
GO:0016021
GO:0005886
GO:0070469
GO:0005507
GO:0008827
GO:0004129
GO:0030246
GO:0004252
GO:0030246
GO:0016301
GO:0016773
GO:0004757
GO:0006729
GO:0005643
GO:0017056
GO:0016787
GO:0006355
GO:0005576
GO:0008061
GO:0006030
GO:0005737
GO:0003677
GO:0003700
GO:0009086
GO:0045892
GO:0005576
GO:0008061
GO:0006030
GO:0005885
GO:0005737
GO:0003779
GO:0005524
GO:0034314
GO:0000287
GO:0008193
GO:0006400
GO:0003743
GO:0030247
GO:0005044
GO:0006955
GO:0005840
GO:0046872
GO:0005737
GO:0003677
GO:0003700
GO:0006633
GO:0045717
GO:0004252
GO:0004252
GO:0016021
GO:0005886
GO:0051087
GO:0005634
GO:0003723
GO:0006397
GO:0016740
GO:0016021
GO:0005524
GO:0004386
GO:0003676
GO:0046983
GO:0008180
GO:0005525
GO:0003924
GO:0016151
GO:0051604
GO:0046332
GO:0003677
GO:0003899
GO:0046983
GO:0006351
GO:0030121
GO:0006886
GO:0016192
GO:0016021
GO:0022857
GO:0006865
GO:0016021
GO:0005886
GO:0005524
GO:0004798
GO:0006233
GO:0005840
GO:0003735
GO:0006412
GO:0009279
GO:0016021
GO:0046872
GO:0016021
GO:0005524
GO:0004386
GO:0003676
GO:0004252
GO:0016010
GO:0005198
GO:0050808
GO:0004252
GO:0016740
GO:0003677
GO:0006355
GO:0016021
GO:0005886
GO:0005524
GO:0008551
GO:0046872
GO:0016463
